4000 30000
1079 1125 924038
166 3656 968856
3370 3694 682059
3206 3587 542835
3290 3765 944837
1294 2643 121816
659 1755 182915
1169 3480 336853
1939 3950 511669
2967 3831 291973
1262 3295 57097
1427 3685 364753
541 1472 800122
1411 2601 647327
1175 1788 318968
2820 2977 713610
794 3479 923717
3310 3709 240885
563 1249 768834
567 584 849017
213 557 694278
2006 3898 844056
790 2759 389528
3234 3742 291290
1881 2913 996816
858 2234 595636
196 1651 391466
1711 3913 706775
798 2625 236375
1985 3560 624942
468 3354 893154
1632 2474 481403
1584 2040 358545
1169 3920 690286
434 3210 52167
27 2667 905376
15 2862 855378
2775 3481 85088
2608 3924 964065
2260 2984 3976
278 1613 980444
1432 3596 983269
1636 3188 377204
1555 1733 962373
371 1117 935158
890 1495 581824
1509 2266 648685
1341 1644 575811
3085 3948 604087
3283 3502 502346
3478 3560 152311
992 3922 731906
531 3543 117893
748 2263 699800
2985 3473 768916
2631 3875 354762
807 2492 20270
136 1844 705962
1656 3572 602261
2095 3073 945544
441 2550 877103
1104 2824 806446
1363 2366 214976
3256 3465 977590
2937 3408 784575
676 1919 720801
2725 3438 175292
60 569 519779
2022 2576 839350
284 670 130774
1462 1828 365324
2566 2931 556147
1378 3928 202864
706 3535 166329
2297 2943 441617
3224 3618 447536
377 3056 798612
3115 3669 627180
1489 3801 58107
1772 3503 179128
2278 3599 492590
2881 3954 667155
453 610 467434
1316 3317 494968
1646 3964 482262
3264 3539 681880
3152 3915 481287
1764 3583 900753
1297 3735 646241
3238 3404 320012
1515 2885 383962
1820 3475 715195
2272 2982 603804
1588 2416 297471
1736 3586 257434
2849 3999 817324
2231 2352 665238
115 3518 9173
271 1763 368907
1519 2513 100144
403 2877 850010
2840 3877 983829
2387 2858 574100
1625 2543 340040
15 3712 931625
62 1801 306825
2292 3126 913176
364 2161 549290
1537 2784 391405
1648 2797 464923
524 2941 465325
1304 3715 401553
1485 2101 940762
644 3938 550386
1010 3978 274449
2810 3603 562511
2287 2428 129154
2651 3604 455667
539 1246 926450
1003 3335 704097
1926 2628 108620
283 3603 556687
1156 1767 730787
1704 1918 783782
656 2033 496791
1635 3106 159953
414 1969 74239
369 3475 421241
1967 3142 210132
1592 2969 809818
895 1689 320445
497 2662 141079
2005 3349 739198
2488 3922 205253
930 2271 879286
35 3414 209272
2355 3367 985686
1829 1959 154406
971 3552 748372
1684 2914 191693
603 3503 432939
300 3264 453787
1380 2964 655791
578 1451 496065
1831 3721 524994
1469 3487 533380
2742 3205 83734
780 1163 337914
715 3186 235236
2750 3911 702150
2252 3604 442752
895 2552 598367
283 2682 209330
1212 2474 522780
2539 3394 838853
1215 3885 170691
1265 3956 161895
1087 1351 919410
624 3265 348124
534 2502 690873
489 652 757477
1383 3756 868380
65 2123 681014
2890 3453 934577
1780 2585 317970
1664 1790 743184
481 2928 419491
278 2377 332577
1787 3894 153201
2263 2395 146086
1488 3046 502927
2801 3317 656661
1275 3697 61077
1063 1079 371966
3640 3664 118097
1805 1963 791760
1499 2286 959039
991 1014 187316
1920 3152 363562
1766 3473 173956
1912 3253 353354
839 2922 344506
1500 2970 745781
33 2578 799211
24 2896 994874
994 1986 720679
754 3485 147316
146 827 920329
3098 3814 475480
2923 3376 193597
834 1333 732849
2024 3039 916122
3545 3875 579092
1678 2452 435476
890 1700 903499
116 2693 817485
1147 3798 953321
295 815 730499
109 1496 481596
1328 3484 392518
1168 2925 125703
127 206 667726
103 249 191601
2132 3341 758404
3169 3373 740103
2669 3841 771147
506 1339 643297
1827 2154 315591
326 3649 491699
977 2274 51535
2793 3901 652702
379 496 681260
575 628 481714
176 320 316197
2932 3489 983922
2509 3036 479762
2535 3014 73452
1192 1832 879605
1517 1776 367606
142 1475 12934
1010 2934 9186
2065 3782 605565
708 3677 718192
1235 1391 958863
166 1940 730351
1862 3553 968859
1624 2088 8224
271 3077 285415
2046 3034 47283
2992 3873 775425
1234 3926 378710
1465 3650 466491
3030 3326 255550
1068 1574 904784
437 3008 688950
1221 3141 380854
2845 4000 235293
577 2273 411916
1658 1992 709961
1002 1276 170185
701 927 811419
2743 3411 319068
1772 2255 890746
2157 3697 491813
134 2942 471172
244 3274 296393
1098 3625 963589
201 744 546213
660 2545 923870
2973 3820 496871
872 1159 278150
578 634 276892
3240 3998 615016
1397 2744 10712
338 2910 422845
933 2082 614470
2382 2475 554447
2416 3125 734647
629 3784 989543
852 2757 817362
267 2075 542585
225 1196 511219
1193 1470 222458
289 486 931854
3550 3550 60543
1631 2396 297475
458 1218 539857
2873 3665 539333
2665 3854 191469
208 705 206225
1923 2779 302843
508 3356 260038
1177 3727 429582
1662 2538 185870
1563 2392 53419
310 2936 503402
763 1528 832211
620 1544 3435
306 560 563288
768 3775 951992
2352 3042 699123
1195 3549 82830
1233 3628 380006
2165 2815 722019
908 1038 119581
195 2809 511891
958 2563 29770
1929 2774 711313
2210 2586 323873
1498 2360 856992
711 1843 128033
1318 1905 195933
148 3489 571912
154 2656 962076
2525 3693 847336
2106 2853 771882
1416 2349 33191
119 189 687472
2398 3785 274057
248 3658 984417
1002 2442 541127
1387 3759 763384
1320 3906 394872
411 1233 381527
2935 3661 425571
1392 3349 580424
93 3232 865839
211 423 630379
347 3895 361129
356 1953 621376
1357 2722 912169
201 2743 899927
63 3585 700184
1647 2810 176594
337 1307 83880
656 2261 541623
239 2685 61715
661 876 190278
908 3607 638624
736 3212 246980
1933 2464 388688
2133 2633 675431
2070 2912 335845
879 3096 941843
42 1567 455501
3827 3922 724156
1898 2863 68746
90 3965 973407
2243 3697 674666
784 1220 413877
552 3600 691809
1240 2584 82293
1023 1496 832362
591 868 853240
985 2711 559159
1258 2213 342985
2721 3155 334200
3120 3820 882289
1227 1714 650337
3285 3893 999473
2122 3836 67424
1076 1931 250007
576 2450 479854
939 3318 940797
2380 2531 325781
944 1690 235038
17 1028 210193
3228 3836 345664
1414 1869 831729
559 1658 823366
32 3779 51201
2061 3456 936628
1815 2988 155078
1670 3926 558747
2467 2809 89478
600 850 202774
2229 3638 622790
1456 2183 450977
199 3677 660742
235 3929 410399
266 3647 146529
73 2848 560941
1887 3829 735928
3259 3908 20206
2006 2726 267014
3325 3836 68215
2610 2963 250444
1145 1752 664251
729 1344 191927
1471 1624 161
222 1270 604778
469 3103 556850
44 649 139089
3907 3973 314996
531 2264 541722
2452 3897 661398
112 1061 876360
2556 2813 945857
3160 3893 215552
1716 3087 33527
2289 3249 223148
379 1392 835616
1230 1435 356617
671 1759 424875
2289 3667 599139
1741 2185 517942
2649 3140 835002
1556 3852 722166
715 1709 630411
1261 3802 220478
2788 3402 902766
1936 3780 340157
1361 1905 609944
2031 2874 448054
2050 3749 874695
3240 3790 673231
1182 3281 911879
185 3485 873787
1193 2703 190501
1114 2806 86654
1592 1945 46055
233 711 706187
1220 2489 107547
1362 3516 421930
1110 3571 447979
702 2618 760120
1883 3849 503401
81 2419 586885
1122 1868 956429
721 2587 827586
531 3376 717531
1593 1783 882115
2812 3970 640603
2328 3870 382316
1800 1898 499425
867 1779 140126
715 1899 822361
1147 1652 864779
889 3014 22252
1671 3735 925191
1257 3462 794073
1244 3140 531665
1255 1566 994476
1435 1858 308803
174 3586 439052
1716 3952 259918
430 3614 960985
1618 2791 454131
2506 3923 129497
528 2175 177583
1785 3718 685044
924 1791 730639
1456 2179 504204
285 388 145990
914 1440 561575
845 865 715290
1115 1646 367256
789 2100 537225
584 711 812082
2081 3237 664610
16 2955 922394
1060 1097 819317
51 2905 753847
256 3189 850235
980 2598 7148
526 1824 240364
168 2939 206361
1390 3424 211149
